Date, Open, High, Low, Close
03/28/18, 805.26, 795.59, 795.59, 795.59
03/27/18, 821.32, 805.55, 805.55, 805.55
03/26/18, 798.25, 821.28, 821.28, 821.28
03/23/18, 813.96, 798.05, 798.05, 798.05
03/22/18, 831.50, 813.95, 813.95, 813.95
03/21/18, 832.30, 831.60, 831.60, 831.60
03/20/18, 827.29, 832.34, 832.34, 832.34
03/19/18, 838.15, 827.25, 827.25, 827.25
03/16/18, 838.68, 838.17, 838.17, 838.17
03/15/18, 839.12, 838.59, 838.59, 838.59
03/14/18, 840.79, 839.14, 839.14, 839.14
03/13/18, 846.55, 840.79, 840.79, 840.79
03/12/18, 844.20, 846.67, 846.67, 846.67
03/09/18, 831.25, 844.20, 844.20, 844.20
03/08/18, 828.48, 831.15, 831.15, 831.15
03/07/18, 834.07, 828.68, 828.68, 828.68
03/06/18, 828.87, 834.82, 834.82, 834.82
03/05/18, 819.61, 828.88, 828.88, 828.88
03/02/18, 818.80, 819.61, 819.61, 819.61
03/01/18, 827.32, 818.88, 818.88, 818.88
02/28/18, 831.52, 827.35, 827.35, 827.35
02/27/18, 849.37, 831.40, 831.40, 831.40
02/26/18, 842.15, 849.41, 849.41, 849.41
02/23/18, 831.07, 842.13, 842.13, 842.13
02/22/18, 830.08, 831.05, 831.05, 831.05
02/21/18, 831.22, 830.20, 830.20, 830.20
02/20/18, 833.85, 831.27, 831.27, 831.27
02/16/18, 837.63, 833.96, 833.96, 833.96
02/15/18, 830.19, 837.65, 837.65, 837.65
02/14/18, 817.65, 830.18, 830.18, 830.18
02/13/18, 813.22, 817.46, 817.46, 817.46
02/12/18, 802.50, 813.29, 813.29, 813.29
02/09/18, 796.88, 802.49, 802.49, 802.49
02/08/18, 830.24, 796.89, 796.89, 796.89
02/07/18, 832.39, 830.23, 830.23, 830.23
02/06/18, 812.29, 832.52, 832.52, 832.52
02/05/18, 841.04, 812.31, 812.31, 812.31
02/02/18, 848.60, 841.07, 841.07, 841.07
02/01/18, 857.87, 848.64, 848.64, 848.64
01/31/18, 860.84, 857.88, 857.88, 857.88
01/30/18, 865.55, 860.86, 860.86, 860.86
01/29/18, 867.66, 865.56, 865.56, 865.56
01/26/18, 859.60, 868.00, 868.00, 868.00
01/25/18, 860.78, 859.57, 859.57, 859.57
01/24/18, 857.36, 860.76, 860.76, 860.76
01/23/18, 849.91, 857.29, 857.29, 857.29
01/22/18, 840.83, 850.00, 850.00, 850.00
01/19/18, 833.61, 840.83, 840.83, 840.83
01/18/18, 833.98, 833.59, 833.59, 833.59
01/17/18, 830.42, 834.00, 834.00, 834.00
01/16/18, 836.22, 830.42, 830.42, 830.42
01/12/18, 825.68, 836.20, 836.20, 836.20
01/11/18, 812.63, 825.61, 825.61, 825.61
01/10/18, 812.61, 812.42, 812.42, 812.42
01/09/18, 811.49, 812.55, 812.55, 812.55
01/08/18, 810.87, 811.59, 811.59, 811.59
01/05/18, 804.02, 810.90, 810.90, 810.90
01/04/18, 801.47, 804.02, 804.02, 804.02
01/03/18, 797.23, 801.46, 801.46, 801.46
01/02/18, 785.17, 797.21, 797.21, 797.21
12/29/17, 790.57, 785.33, 785.33, 785.33
12/28/17, 788.78, 790.56, 790.56, 790.56
12/27/17, 790.16, 788.59, 788.59, 788.59
12/26/17, 788.29, 790.11, 790.11, 790.11
12/22/17, 789.68, 788.32, 788.32, 788.32
12/21/17, 784.72, 789.68, 789.68, 789.68
12/20/17, 786.63, 784.76, 784.76, 784.76
12/19/17, 786.96, 786.30, 786.30, 786.30
12/18/17, 780.77, 786.97, 786.97, 786.97
12/15/17, 776.59, 780.76, 780.76, 780.76
12/14/17, 774.40, 776.60, 776.60, 776.60
12/13/17, 774.04, 774.48, 774.48, 774.48
12/12/17, 773.84, 774.04, 774.04, 774.04
12/11/17, 772.19, 773.85, 773.85, 773.85
12/08/17, 768.32, 771.92, 771.92, 771.92
12/07/17, 766.53, 768.58, 768.58, 768.58
12/06/17, 772.08, 766.79, 766.79, 766.79
12/05/17, 772.71, 772.10, 772.10, 772.10
12/04/17, 767.99, 776.75, 776.75, 776.75
12/01/17, 767.73, 767.92, 767.92, 767.92
11/30/17, 764.14, 767.82, 767.82, 767.82
11/29/17, 760.77, 764.40, 764.40, 764.40
11/28/17, 752.91, 761.08, 761.08, 761.08
11/27/17, 752.32, 752.90, 752.90, 752.90
11/24/17, 750.70, 752.31, 752.31, 752.31
11/22/17, 749.85, 750.73, 750.73, 750.73
11/21/17, 745.48, 749.96, 749.96, 749.96
11/20/17, 744.25, 745.47, 745.47, 745.47
11/17/17, 740.67, 744.25, 744.25, 744.25
11/16/17, 734.73, 740.68, 740.68, 740.68
11/15/17, 737.81, 734.76, 734.76, 734.76
11/14/17, 737.17, 738.04, 738.04, 738.04
11/13/17, 734.88, 737.31, 737.31, 737.31
11/10/17, 732.34, 734.96, 734.96, 734.96
11/09/17, 730.86, 732.45, 732.45, 732.45
11/08/17, 730.70, 731.24, 731.24, 731.24
11/07/17, 734.88, 730.82, 730.82, 730.82
11/06/17, 729.39, 734.88, 734.88, 734.88
11/03/17, 726.82, 729.51, 729.51, 729.51
11/02/17, 732.50, 726.86, 726.86, 726.86
11/01/17, 732.00, 732.48, 732.48, 732.48
10/31/17, 732.26, 731.97, 731.97, 731.97
10/30/17, 735.09, 732.30, 732.30, 732.30
10/27/17, 723.58, 735.17, 735.17, 735.17
10/26/17, 722.06, 723.60, 723.60, 723.60
10/25/17, 724.00, 721.24, 721.24, 721.24
10/24/17, 721.95, 724.01, 724.01, 724.01
10/23/17, 727.05, 722.01, 722.01, 722.01
